task,model_name,point_index,false_positive_rate,true_positive_rate,threshold
inflammatory_vs_hyperplastic,Low-signal morphology baseline,4,0.16666666666666666,0.8,0.5961645390193164
inflammatory_vs_hyperplastic,Low-signal morphology baseline,5,0.8333333333333334,0.8,0.14863284049231065
inflammatory_vs_hyperplastic,Low-signal morphology baseline,6,0.8333333333333334,1.0,0.0727820289182288
inflammatory_vs_hyperplastic,Low-signal morphology baseline,7,1.0,1.0,0.03802488035689957
inflammatory_vs_hyperplastic,Full-feature baseline,0,0.0,0.0,inf
inflammatory_vs_hyperplastic,Full-feature baseline,1,0.16666666666666666,0.0,0.9999901486191366
inflammatory_vs_hyperplastic,Full-feature baseline,2,0.16666666666666666,0.4,0.9394921227603029
inflammatory_vs_hyperplastic,Full-feature baseline,3,0.3333333333333333,0.4,0.7043828886422656
inflammatory_vs_hyperplastic,Full-feature baseline,4,0.3333333333333333,0.6,0.6323966875117576
inflammatory_vs_hyperplastic,Full-feature baseline,5,0.5,0.6,0.4925095859307212
inflammatory_vs_hyperplastic,Full-feature baseline,6,0.5,0.7,0.41056964718225025
inflammatory_vs_hyperplastic,Full-feature baseline,7,0.8333333333333334,0.7,0.05841993050208078
inflammatory_vs_hyperplastic,Full-feature baseline,8,0.8333333333333334,0.9,0.011568258123914354
inflammatory_vs_hyperplastic,Full-feature baseline,9,1.0,0.9,0.0015017292220711527
inflammatory_vs_hyperplastic,Full-feature baseline,10,1.0,1.0,1.7084595758681008e-09
inflammatory_vs_hyperplastic,Task-specific compact panel,0,0.0,0.0,inf
inflammatory_vs_hyperplastic,Task-specific compact panel,1,0.0,0.1,0.9971541199759737
inflammatory_vs_hyperplastic,Task-specific compact panel,2,0.0,0.9,0.468239262377086
inflammatory_vs_hyperplastic,Task-specific compact panel,3,1.0,0.9,0.15392069162059893
inflammatory_vs_hyperplastic,Task-specific compact panel,4,1.0,1.0,0.014838186295273495
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,0,0.0,0.0,inf
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,1,0.0625,0.0,0.9990817740714579
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,2,0.3125,0.0,0.7292726150521882
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,3,0.3125,0.5,0.5550396806648796
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,4,0.4375,0.5,0.49881899589449674
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,5,0.4375,0.6666666666666666,0.44877078015661737
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,6,0.5625,0.6666666666666666,0.35773245706637335
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,7,0.5625,1.0,0.3451356285806453
tubular_adenoma_vs_non_neoplastic,Intensity-distribution baseline,8,1.0,1.0,0.020753892559920183
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,0,0.0,0.0,inf
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,1,0.0625,0.0,0.9331806777544979
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,2,0.0625,0.16666666666666666,0.875613815705983
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,3,0.125,0.16666666666666666,0.823217600913473
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,4,0.125,0.3333333333333333,0.8216006114984236
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,5,0.1875,0.3333333333333333,0.8069028579955619
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,6,0.1875,0.6666666666666666,0.7137495715939408
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,7,0.3125,0.6666666666666666,0.6136899489055491
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,8,0.3125,0.8333333333333334,0.4486616487636573
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,9,0.4375,0.8333333333333334,0.37827703180427863
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,10,0.4375,1.0,0.3549516961976496
tubular_adenoma_vs_non_neoplastic,GLCM texture baseline,11,1.0,1.0,0.006949007923863352
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,0,0.0,0.0,inf
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,1,0.0625,0.0,0.8256255115044779
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,2,0.1875,0.0,0.6894614704562646
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,3,0.1875,0.16666666666666666,0.625387367098892
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,4,0.375,0.16666666666666666,0.5764043418672753
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,5,0.375,0.3333333333333333,0.5759046645674767
tubular_adenoma_vs_non_neoplastic,Signal-area baseline,6,0.4375,0.3333333333333333,0.5670020249944465
