task,task_display,feature_1,feature_2,spearman_rho,spearman_p_descriptive,abs_spearman_rho
malignant_vs_non_malignant,Malignant vs non-malignant,Max,GLCM_entropy,0.7943822151532799,2.6791630062944665e-07,0.7943822151532799
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowSignalRatio,0.17666626807223998,0.35926404689005137,0.17666626807223998
malignant_vs_non_malignant,Malignant vs non-malignant,Max,HighSignalRatio,0.53689790534088,0.0026740476296237144,0.53689790534088
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_Count,-0.028215870743364613,0.8844803176929075,0.028215870743364613
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_Density_per_10kpx,-0.01823333868528,0.9252060461737945,0.01823333868528
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_MeanArea_px,0.29000864368344,0.12699527215376474,0.29000864368344
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_MedianArea_px,0.26290503212424,0.16823687503378842,0.26290503212424
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_MeanCircularity,-0.30257486358815994,0.11062357318382435,0.30257486358815994
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_MeanSolidity,-0.09708020867567999,0.6163832514616817,0.09708020867567999
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_MeanEccentricity,-0.05075767255632,0.7937197331616752,0.05075767255632
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_MeanAspectRatio,-0.05100406902504,0.7927398738262893,0.05100406902504
malignant_vs_non_malignant,Malignant vs non-malignant,Max,LowObj_TotalAreaRatio_filtered,0.19563879616368,0.309117405884265,0.19563879616368
malignant_vs_non_malignant,Malignant vs non-malignant,P10,P25,0.8535533997493756,3.984040212110943e-09,0.8535533997493756
malignant_vs_non_malignant,Malignant vs non-malignant,P10,P75,0.31661946230519994,0.09424573779369826,0.31661946230519994
malignant_vs_non_malignant,Malignant vs non-malignant,P10,P90,0.25467980295566495,0.18244201834335003,0.25467980295566495
malignant_vs_non_malignant,Malignant vs non-malignant,P10,IQR,-0.6566502463054186,0.00010938606169737303,0.6566502463054186
malignant_vs_non_malignant,Malignant vs non-malignant,P10,Skewness,-0.685221674876847,4.1089896398757386e-05,0.685221674876847
malignant_vs_non_malignant,Malignant vs non-malignant,P10,Kurtosis,0.7674876847290638,1.1846151848415483e-06,0.7674876847290638
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GrayEntropy,-0.3251231527093595,0.08526263910954714,0.3251231527093595
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_contrast,-0.4251231527093595,0.021508225538002232,0.4251231527093595
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_dissimilarity,-0.4162561576354679,0.024701085316255183,0.4162561576354679
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_homogeneity,0.30197044334975365,0.11137309913684668,0.30197044334975365
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_ASM,0.016256157635467977,0.93329759520479,0.016256157635467977
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_energy,0.04334975369458127,0.8233163121901836,0.04334975369458127
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_correlation,-0.19802955665024624,0.30312463715068405,0.19802955665024624
malignant_vs_non_malignant,Malignant vs non-malignant,P10,GLCM_entropy,-0.3546798029556649,0.05904032561343765,0.3546798029556649
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowSignalRatio,-0.9857142857142855,2.000337664218142e-22,0.9857142857142855
malignant_vs_non_malignant,Malignant vs non-malignant,P10,HighSignalRatio,0.18275862068965515,0.3426620181383207,0.18275862068965515
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_Count,-0.623229466483671,0.0003045114467259402,0.623229466483671
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_Density_per_10kpx,-0.6793103448275861,5.0757719859423286e-05,0.6793103448275861
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_MeanArea_px,-0.72807881773399,7.5806250168173936e-06,0.72807881773399
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_MedianArea_px,-0.7605911330049259,1.6808581280530855e-06,0.7605911330049259
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_MeanCircularity,0.6167487684729063,0.00036645373772986676,0.6167487684729063
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_MeanSolidity,0.2985221674876847,0.11572166984262854,0.2985221674876847
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_MeanEccentricity,0.22463054187192114,0.24139457634527842,0.22463054187192114
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_MeanAspectRatio,0.10935960591133002,0.5722691529714519,0.10935960591133002
malignant_vs_non_malignant,Malignant vs non-malignant,P10,LowObj_TotalAreaRatio_filtered,-0.9852216748768471,3.152204435887857e-22,0.9852216748768471
malignant_vs_non_malignant,Malignant vs non-malignant,P25,P75,0.6301133754653565,0.0002490086698889352,0.6301133754653565
malignant_vs_non_malignant,Malignant vs non-malignant,P25,P90,0.582830402253109,0.0009072539326401818,0.582830402253109
malignant_vs_non_malignant,Malignant vs non-malignant,P25,IQR,-0.33008991505459256,0.0803268353361401,0.33008991505459256
malignant_vs_non_malignant,Malignant vs non-malignant,P25,Skewness,-0.8432072979342317,9.387555588143688e-09,0.8432072979342317
malignant_vs_non_malignant,Malignant vs non-malignant,P25,Kurtosis,0.5436630168100641,0.0023022692632763955,0.5436630168100641
malignant_vs_non_malignant,Malignant vs non-malignant,P25,GrayEntropy,0.031777312717942124,0.8700147672817055,0.031777312717942124
